,rgi_id
266,RGI60-11.00929
267,RGI60-11.00935
268,RGI60-11.00937
269,RGI60-11.00938
270,RGI60-11.00943
271,RGI60-11.00944
272,RGI60-11.00945
273,RGI60-11.00947
274,RGI60-11.00948
275,RGI60-11.00957
276,RGI60-11.00958
277,RGI60-11.00959
278,RGI60-11.00960
279,RGI60-11.00962
280,RGI60-11.00978
281,RGI60-11.00980
282,RGI60-11.00984
283,RGI60-11.00992
284,RGI60-11.00996
285,RGI60-11.01040
286,RGI60-11.00497
287,RGI60-11.00480
288,RGI60-11.00565
